District,RegVoters,AMURIAT OBOI PATRICK,KABULETA KIIZA JOSEPH,KALEMBE NANCY LINDA,KATUMBA JOHN,KYAGULANYI SSENTAMU ROBERT,MAO NORBERT,MAYAMBALA WILLY,MUGISHA MUNTU GREGG,MWESIGYE FRED,TUMUKUNDE HENRY KAKURUGU,YOWERI MUSEVENI  KAGUTA,Valid Votes,InvalidVotes,Total Votes,Received Station,DintVote,Percentage,color
025 MASINDI,154805,1117,2721,191,282,20879,203,97,358,314,411,55604,82177,4364,86541,"269/
269",68264,44.10, #ff0023
026 MBALE,108400,1309,170,321,159,28935,135,69,170,137,190,37106,68701,2603,71304,"240/
240",37096,34.22, #ff0024
027 MBARARA,84209,660,108,82,259,4586,57,12,792,83,190,49807,56636,1419,58055,"159/
159",26154,31.06, #ff0025
028 MOROTO,38004,211,111,60,45,1417,66,94,67,68,952,21342,24433,2225,26658,"99/
99",11346,29.85, #ff0026
029 MOYO,45367,483,191,149,75,4648,200,37,164,172,146,18227,24492,1542,26034,"81/
81",19333,42.61, #ff0027
030 MPIGI,135726,332,64,112,182,60815,160,27,138,73,150,22333,84386,2558,86944,"245/
245",48782,35.94, #ff0028
031 MUBENDE,196565,350,135,100,196,40980,133,49,328,178,343,71834,114626,5661,120287,"383/
383",76278,38.81, #ff0029
032 MUKONO,355275,1148,270,372,856,134591,525,117,600,185,248,48062,186974,4355,191329,"602/
619",163946,46.15, #ff0030
033 NEBBI,130508,2271,369,425,328,15421,761,223,448,563,469,47285,68563,4079,72642,"241/
241",57866,44.34, #ff0031
034 NTUNGAMO,268541,3227,145,300,802,12503,159,53,7110,218,677,161655,186849,3921,190770,"481/
481",77771,28.96, #ff0032
035 PALLISA,131370,10031,259,348,194,16362,270,361,283,535,465,53788,82896,3938,86834,"277/
277",44536,33.90, #ff0033
036 RAKAI,135169,219,58,129,122,33267,99,33,232,105,214,47288,81766,3195,84961,"223/
226",50208,37.14, #ff0034
037 RUKUNGIRI,185118,18204,204,336,1432,6501,150,83,936,149,2980,77410,108385,4058,112443,"404/
404",72675,39.26, #ff0035
038 SOROTI,92720,19758,505,491,469,5196,184,166,298,324,338,34590,62319,2991,65310,"171/
173",27410,29.56, #ff0036
039 TORORO,268434,8876,881,682,521,54556,561,143,657,485,893,86248,154503,5792,160295,"481/
481",108139,40.29, #ff0037
040 ADJUMANI,79364,1179,710,325,198,7866,225,81,264,183,265,35125,46421,2540,48961,"142/
142",30403,38.31, #ff0038
041 BUGIRI,193053,1836,256,417,267,49475,279,134,328,226,392,45980,99590,5285,104875,"371/
371",88178,45.68, #ff0039
042 BUSIA,163571,2671,945,738,448,45166,305,137,299,261,441,44679,96090,4793,100883,"284/
284",62688,38.32, #ff0040
043 KATAKWI,83162,11710,414,185,105,2108,150,52,254,201,290,40777,56246,0,56246,"193/
193",26916,32.37, #ff0041
044 NAKASONGOLA,89647,286,55,90,130,18213,58,20,98,73,110,35823,54956,2416,57372,"193/
193",32275,36.00, #ff0042
045 SSEMBABULE,132240,236,45,145,119,33524,75,24,155,91,109,45234,79757,2297,82054,"271/
286",50186,37.95, #ff0043
046 KAMWENGE,117466,386,41,82,149,3969,41,38,517,90,108,85241,90662,1087,91749,"250/
250",25717,21.89, #ff0044
047 KAYUNGA,190977,571,234,345,226,64172,180,103,294,197,300,35881,102503,4507,107010,"338/
338",83967,43.97, #ff0045
048 KYENJOJO,215012,986,249,284,350,15158,106,53,728,138,334,110869,129255,4744,133999,"459/
459",81013,37.68, #ff0046
049 MAYUGE,231116,1005,194,754,423,62938,216,104,313,208,540,50932,117627,4487,122114,"437/
437",109002,47.16, #ff0047
050 PADER,82298,1570,590,545,353,8292,2757,469,495,267,817,28233,44388,3244,47632,"215/
215",34666,42.12, #ff0048
051 SIRONKO,132465,8541,97,233,124,28900,199,31,124,115,252,43275,81891,7,81898,"390/
391",50567,38.17, #ff0049
052 WAKISO,1154857,3730,772,753,2520,425002,1101,140,2764,529,1684,122505,561500,12518,574018,"1433/
1434",580839,50.30, #ff0050
053 YUMBE,113855,1129,368,371,181,16890,265,129,304,299,528,50686,71150,4075,75225,"335/
335",38630,33.93, #ff0051
054 KABERAMAIDO,52210,3378,228,180,156,9058,196,201,294,244,298,18589,32822,1456,34278,"95/
95",17932,34.35, #ff0052
055 KANUNGU,146064,3682,193,241,755,6722,108,62,812,218,772,72126,85691,2604,88295,"309/
309",57769,39.55, #ff0053
056 NAKAPIRIPIRIT,32661,59,19,24,19,978,25,9,23,31,129,22029,23345,1145,24490,"78/
78",8171,25.02, #ff0054
057 AMOLATAR,71173,3349,218,240,260,7185,206,134,310,289,466,38619,51276,1908,53184,"183/
183",17989,25.28, #ff0055
058 AMURIA,88722,16637,319,214,115,3380,215,108,278,219,385,34666,56536,2216,58752,"215/
215",29970,33.78, #ff0056
059 BUKWO,44126,451,73,80,43,3032,56,72,80,52,93,27888,31920,975,32895,"140/
140",11231,25.45, #ff0057
060 BUTALEJA,110737,641,351,239,200,29037,159,80,147,149,287,37856,69146,2098,71244,"204/
204",39493,35.66, #ff0058
061 IBANDA,140486,958,136,134,353,7702,159,40,1419,97,240,77521,88759,2042,90801,"280/
280",49685,35.37, #ff0059
062 ISINGIRO,233099,1351,132,108,313,8769,129,30,845,206,228,188609,200720,2410,203130,"508/
509",29969,12.86, #ff0060
063 KAABONG,41211,318,75,74,61,1218,140,659,145,146,848,26100,29784,3221,33005,"136/
136",8206,19.91, #ff0061
064 KALIRO,109466,728,126,457,121,27032,122,34,124,247,230,38189,67410,3094,70504,"259/
259",38962,35.59, #ff0062
065 KIRUHURA,81891,78,1,16,31,616,7,1,155,8,36,75483,76432,311,76743,"189/
189",5148,6.29, #ff0063
066 KOBOKO,92845,545,322,247,149,10719,247,215,342,155,555,34410,47906,2933,50839,"190/
190",42006,45.24, #ff0064
067 MANAFWA,79924,1598,110,128,91,13740,104,32,66,132,128,32999,49128,1849,50977,"211/
211",28947,36.22, #ff0065
068 MITYANA,176029,307,85,90,256,72955,260,37,189,81,194,38163,112617,3516,116133,"337/
337",59896,34.03, #ff0066
069 NAKASEKE,107133,130,69,65,124,32063,204,32,97,64,172,38009,71029,2896,73925,"253/
253",33208,31.00, #ff0067
070 ABIM,36539,433,71,66,179,3956,395,35,63,41,95,18254,23588,875,24463,"105/
105",12076,33.05, #ff0068
